EEG1, EEG2, EEG3, EEG4, EEG5, Eyes
1070.989,1048.022,1025.055,1059.304,786.5201,0
1104.835,1038.755,1008.938,1083.883,862.2711,0
1066.557,1029.084,1000.879,1044.396,886.4469,0
989.1942,1019.011,998.0586,974.2857,751.4652,0
972.674,1007.729,988.7912,966.2271,760.3297,0
1010.147,1003.297,981.9414,1008.132,813.1135,0
1063.333,1011.758,983.5531,1056.484,900.9524,0
1084.689,1048.022,1020.623,1070.183,907.8022,0
1050.843,1083.48,1067.363,1044.396,803.0403,0
1044.799,1092.747,1081.868,1045.604,797.8022,0
1087.912,1093.15,1078.645,1084.689,811.0989,0
1149.56,1098.791,1073.004,1141.099,882.8205,0
1163.663,1113.7,1085.897,1146.74,894.1025,0
1116.52,1131.026,1111.282,1101.209,806.2637,0
1105.238,1140.293,1122.967,1093.956,794.5787,0
1139.487,1136.264,1120.146,1126.996,787.326,0
1195.897,1135.055,1114.505,1179.78,888.8644,0
1205.971,1144.725,1122.161,1184.212,887.2527,0
1148.755,1151.172,1136.264,1128.608,795.3846,0
1126.593,1157.619,1145.531,1109.67,777.6557,0
1167.289,1171.319,1158.828,1154.396,766.3736,0
1236.593,1187.033,1169.304,1222.894,797.8022,0
1249.084,1195.897,1173.736,1231.355,859.8535,0
1191.062,1193.883,1177.766,1172.125,796.5934,0
1151.575,1187.436,1178.974,1139.084,763.5531,0
1169.304,1183.004,1174.945,1166.886,774.0293,0
1221.685,1178.168,1165.275,1217.656,831.2454,0
1237.399,1175.751,1156.41,1228.938,902.5641,0
1180.586,1173.736,1154.799,1168.095,832.0513,0
1130.623,1169.304,1159.231,1130.623,814.3223,0
1146.74,1162.051,1155.604,1146.74,810.696,0
1187.839,1146.337,1132.637,1175.751,818.7546,0
1210,1147.143,1123.773,1201.941,867.9121,0
1177.363,1165.275,1143.516,1171.722,862.2711,0
1133.04,1171.722,1156.813,1124.579,832.8571,0
1143.114,1167.692,1151.978,1139.89,795.3846,0
1189.854,1164.066,1140.696,1188.645,780.0732,0
1224.103,1164.469,1134.249,1215.238,867.1062,0
1185.824,1164.066,1140.696,1180.586,918.2784,0
1119.341,1158.828,1146.337,1112.491,824.3956,0
1123.773,1157.216,1145.531,1117.729,805.4579,0
1177.766,1161.648,1140.696,1168.901,826.8132,0
1217.656,1165.275,1133.443,1196.3,886.8498,0
1190.659,1166.484,1135.055,1163.663,909.011,0
1124.579,1165.678,1140.293,1106.447,869.1208,0
1115.311,1159.231,1132.637,1109.67,869.5238,0
1158.828,1155.604,1119.341,1150.769,807.8755,0
1210.403,1156.813,1115.714,1192.271,891.685,0
1197.509,1157.216,1125.385,1179.377,904.1758,0
1136.667,1164.066,1142.711,1129.414,782.4908,0
1134.249,1168.901,1149.963,1132.637,838.9011,0
1174.945,1164.066,1142.711,1177.766,841.3187,0
1224.103,1160.037,1133.04,1220.879,882.8205,0
1212.418,1160.037,1133.846,1202.747,940.0366,0
1141.905,1157.216,1141.905,1132.234,834.8718,0
1118.938,1148.755,1135.458,1115.714,830.4396,0
1144.322,1137.473,1118.938,1146.337,851.392,0
1222.491,1161.648,1138.278,1216.447,881.2088,0
1284.139,1222.894,1200.733,1272.454,877.5824,0
1246.667,1249.487,1238.205,1236.593,808.6813,0
1208.388,1237.399,1230.146,1199.121,817.1429,0
1238.608,1237.802,1222.491,1231.758,814.7253,0
1306.703,1253.919,1224.505,1294.212,840.9158,0
1307.912,1255.128,1223.7,1290.989,874.3589,0
1232.161,1245.458,1216.447,1215.238,828.8278,0
1199.927,1247.07,1217.253,1180.183,798.608,0
1226.117,1251.502,1220.073,1215.238,745.0183,0
1278.095,1243.04,1205.165,1266.813,834.8718,0
1288.974,1238.205,1199.121,1267.619,921.0989,0
1223.297,1233.37,1204.359,1207.985,859.8535,0
1173.333,1221.685,1201.538,1173.333,815.1282,0
1181.795,1209.597,1186.63,1189.048,833.663,0
1229.341,1195.495,1165.678,1226.52,881.2088,0
1241.026,1181.392,1151.978,1231.758,927.5458,0
1174.945,1167.289,1143.919,1170.11,892.4908,0
1116.52,1154.396,1137.07,1117.326,887.6557,0
1122.564,1142.711,1124.982,1123.37,864.6887,0
1160.843,1128.205,1101.612,1156.813,837.2894,0
1176.154,1118.132,1088.718,1170.916,924.3223,0
1129.817,1110.073,1088.315,1119.341,929.1575,0
1060.11,1093.553,1080.256,1052.454,898.9377,0
1052.051,1077.839,1062.125,1050.843,895.3113,0
1094.359,1072.601,1048.425,1091.135,844.1392,0
1122.564,1071.392,1038.755,1110.476,923.5165,0
1086.3,1070.586,1041.172,1069.78,914.652,0
1025.861,1069.78,1047.619,1010.952,857.4359,0
1032.711,1071.392,1047.619,1023.443,883.2234,0
1082.271,1073.004,1043.59,1076.227,861.0623,0
1126.996,1074.615,1033.919,1101.612,960.1832,0
1122.967,1095.568,1055.275,1086.703,952.5275,0
1075.824,1118.535,1091.538,1058.095,823.1868,0
1075.421,1122.161,1099.194,1070.183,818.3516,0
1127.399,1128.205,1102.015,1124.982,832.8571,0
1193.48,1145.128,1111.685,1181.392,917.0696,0
1210.403,1172.93,1139.89,1187.839,905.3846,0
1165.275,1189.048,1166.081,1144.725,823.9927,0
1157.216,1193.077,1170.513,1145.128,802.6374,0
1206.374,1202.344,1174.542,1198.315,796.1905,0
1265.604,1207.582,1170.513,1252.308,839.707,0
1259.56,1210.806,1173.333,1243.04,919.8901,0
1207.985,1223.297,1194.286,1185.421,859.4506,0
1229.341,1261.172,1230.549,1207.985,749.8535,0
1300.659,1295.421,1260.769,1280.916,761.5385,0
1367.546,1305.897,1260.769,1339.744,841.7216,0
1365.128,1305.897,1257.546,1336.52,857.033,0
1304.689,1310.33,1273.26,1278.095,778.4615,0
1299.451,1330.879,1303.48,1279.707,742.1978,0
1354.249,1355.458,1330.073,1337.326,712.7839,0
1421.941,1364.725,1331.685,1398.571,748.2418,0
1430.806,1362.711,1327.656,1398.168,855.4213,0
1371.172,1362.711,1337.729,1338.938,824.7985,0
1336.52,1364.725,1345.788,1311.538,745.8242,0
1365.128,1371.172,1352.637,1346.19,747.4359,0
1450.146,1397.363,1372.381,1426.374,745.4213,0
1519.451,1449.341,1415.897,1486.007,772.0146,0
1489.231,1480.366,1450.549,1462.234,724.0659,0
1440.073,1478.755,1454.579,1423.15,661.2088,0
1441.282,1463.846,1440.879,1431.612,716.8132,0
1475.531,1448.132,1413.883,1461.832,789.3406,0
1502.527,1444.908,1406.63,1484.396,837.2894,0
1462.234,1443.297,1414.689,1440.879,770.403,0
1392.125,1428.791,1409.451,1380.843,745.4213,0
1384.872,1410.659,1394.139,1382.857,773.6264,0
1423.15,1394.945,1373.59,1416.703,846.9597,0
1444.103,1383.26,1354.652,1433.626,948.9011,0
1397.766,1373.59,1345.788,1386.081,899.3406,0
1328.462,1361.905,1339.744,1317.582,836.8865,0
1322.418,1348.205,1324.432,1313.553,846.1539,0
1361.905,1332.894,1307.106,1342.967,857.4359,0
1392.93,1320.403,1291.795,1363.114,937.2161,0
1342.564,1305.092,1276.081,1313.553,911.4286,0
1263.59,1293.81,1276.484,1247.473,846.9597,0
1247.473,1278.095,1270.037,1240.623,880.403,0
1269.634,1256.74,1245.055,1263.187,849.3773,0
1299.854,1244.652,1222.088,1286.154,936.0073,0
1269.634,1235.788,1217.253,1251.905,968.2418,0
1199.524,1232.161,1227.326,1189.048,860.2564,0
1191.062,1231.758,1225.311,1182.198,863.8828,0
1228.535,1228.938,1215.238,1222.894,904.9817,0
1284.945,1232.967,1214.432,1274.872,939.2308,0
1286.154,1249.487,1231.758,1274.469,930.3663,0
1232.564,1265.201,1258.352,1227.729,840.9158,0
1224.505,1267.216,1262.784,1221.282,852.1978,0
1264.396,1265.201,1252.711,1258.352,873.5531,0
1315.971,1261.978,1240.623,1304.689,938.4249,0
1307.912,1259.157,1231.758,1295.824,991.6117,0
1242.234,1253.919,1234.579,1228.535,949.707,0
1212.418,1245.055,1234.579,1208.388,914.652,0
1250.696,1251.099,1238.205,1249.89,870.7326,0
1326.85,1268.828,1247.473,1307.912,907.3993,0
1349.414,1286.96,1260.769,1322.821,956.1539,0
1299.451,1298.242,1277.692,1274.066,852.6007,0
1271.648,1298.242,1282.527,1248.681,801.8315,0
1288.974,1294.615,1276.081,1274.872,859.4506,0
1333.297,1289.78,1264.396,1320,906.5934,0
1349.414,1294.212,1265.604,1328.462,911.8315,0
1304.689,1305.897,1283.736,1277.289,854.6154,0
1264.799,1303.883,1290.586,1244.652,816.7399,0
1269.634,1292.198,1278.498,1264.396,827.2161,0
1330.073,1294.615,1272.857,1319.194,869.1208,0
1377.216,1316.374,1289.78,1351.429,895.7143,0
1344.579,1337.729,1314.762,1318.388,863.4799,0
1307.509,1349.414,1334.505,1299.451,831.6484,0
1327.656,1354.652,1342.967,1337.729,814.3223,0
1384.066,1354.652,1338.535,1388.498,802.2344,0
1436.85,1374.799,1352.234,1424.359,854.6154,0
1423.553,1398.974,1382.051,1407.436,784.5055,0
1386.886,1412.674,1405.421,1376.813,704.7253,0
1407.839,1423.553,1415.495,1406.63,720.8425,0
1463.443,1422.344,1403.004,1456.593,738.5714,0
1503.333,1420.33,1388.095,1477.546,838.4982,0
1474.725,1423.15,1393.736,1436.447,846.9597,0
1408.645,1423.553,1400.586,1380.037,782.8938,0
1400.183,1415.495,1392.125,1383.663,800.6227,0
1436.447,1404.615,1379.231,1416.703,834.0659,0
1493.663,1423.553,1390.11,1464.249,852.6007,0
1513.407,1469.487,1434.432,1482.784,849.3773,0
1467.07,1489.231,1473.516,1449.341,758.315,0
1459.011,1481.978,1474.322,1445.311,706.7399,0
1488.828,1468.278,1454.579,1476.337,711.1722,0
1517.839,1453.37,1434.835,1501.722,801.8315,0
1487.216,1442.491,1426.777,1471.502,863.0769,0
1412.674,1430,1421.538,1399.377,794.9817,0
1392.527,1416.703,1411.062,1381.648,825.2015,0
1413.883,1401.795,1396.96,1410.256,844.5421,0
1439.67,1377.619,1363.516,1433.223,913.0403,0
1416.3,1362.308,1341.355,1405.421,957.3626,0
1344.982,1349.817,1340.952,1335.311,898.1319,0
1307.106,1326.447,1324.835,1299.854,886.0439,0
1319.194,1301.465,1295.018,1311.135,856.6301,0
1360.696,1284.139,1268.828,1348.608,950.1099,0
1356.264,1278.498,1257.949,1332.088,975.8975,0
1289.377,1272.857,1259.963,1260.769,829.6337,0
1243.04,1258.352,1247.473,1224.908,812.7106,0
1245.055,1236.996,1223.297,1237.399,895.3113,0
1286.154,1224.103,1203.15,1278.498,1017.399,0
1257.143,1189.048,1162.051,1243.443,1056.484,0
1135.458,1127.802,1107.253,1126.19,954.5421,0
1063.736,1089.121,1074.615,1060.11,922.7106,0
1060.513,1061.722,1048.022,1058.095,915.4579,0
1099.194,1043.993,1024.249,1089.121,965.4213,0
1106.044,1035.128,1011.355,1086.3,1003.297,0
1043.993,1031.905,1015.385,1027.473,983.1502,0
990,1025.055,1012.967,980.7326,972.2711,0
988.3883,1012.564,1000.073,990.8058,940.4396,0
1034.725,1005.311,983.1502,1038.352,967.8388,0
1062.125,1006.923,977.9121,1059.304,1018.608,0
1019.414,1010.147,989.597,1004.103,996.8498,0
966.6301,1005.311,992.8205,950.1099,916.2637,0
972.2711,999.6703,983.9561,969.4506,895.3113,0
1021.429,994.4323,968.2418,1015.788,934.3956,0
1057.692,991.2088,958.1685,1037.143,978.315,0
1021.831,992.0146,964.2125,1000.476,958.9744,0
958.9744,988.7912,971.8681,951.3187,922.3077,0
956.9597,979.1208,965.4213,958.1685,867.9121,0
996.8498,968.2418,946.0806,993.6264,895.3113,0
1033.919,965.0183,931.978,1017.399,970.6594,0
1006.923,967.4359,938.022,984.3589,921.5018,0
938.4249,965.0183,944.0659,923.1135,892.8938,0
929.1575,958.9744,935.6044,923.9194,936.4103,0
967.033,953.7363,931.1722,962.1978,912.2344,0
1010.549,954.1392,925.1282,996.8498,952.1245,0
1007.326,968.6447,936.8132,982.3443,968.6447,0
946.4835,973.8828,952.1245,933.5897,893.6996,0
927.5458,965.0183,945.6777,929.5604,856.2271,0
963.4066,960.1832,937.2161,965.8242,853.0037,0
1010.147,958.5714,934.7985,1006.923,911.4286,0
998.8644,963.4066,939.6337,992.0146,961.7949,0
935.6044,967.8388,946.4835,930.3663,895.7143,0
920.696,963.4066,944.8718,914.652,883.6264,0
955.7509,960.989,938.022,951.7216,900.9524,0
1007.729,960.989,928.7546,998.0586,946.0806,0
1007.326,963.4066,932.381,992.4176,966.2271,0
950.1099,970.6594,946.4835,939.2308,905.7875,0
925.5311,965.8242,947.6923,917.0696,890.4762,0
943.663,954.5421,939.6337,945.2747,895.7143,0
999.2674,952.5275,930.3663,996.0439,901.7582,0
1011.355,956.9597,928.7546,993.2234,952.5275,0
947.6923,958.1685,936.8132,938.022,881.6117,0
907.8022,952.5275,935.2015,915.8608,865.4945,0
925.5311,945.2747,925.1282,938.8278,887.6557,0
979.1208,938.4249,913.4432,982.3443,887.2527,0
990.8058,938.8278,911.4286,987.5824,954.1392,0
935.2015,941.6484,919.8901,937.619,901.3553,0
896.5201,939.2308,922.3077,900.5494,868.315,0
919.8901,941.2454,919.4872,917.8755,858.6447,0
980.7326,946.4835,914.2491,972.674,869.1208,0
1006.52,954.5421,918.6813,997.2527,923.5165,0
975.8975,975.8975,948.0952,964.6154,896.5201,0
983.1502,1028.278,1006.923,973.0769,849.7802,0
1042.381,1069.78,1046.41,1037.949,804.652,0
1102.015,1074.212,1045.604,1093.956,809.8901,0
1134.249,1080.256,1043.993,1113.7,893.6996,0
1088.315,1082.674,1051.245,1075.018,867.5092,0
1031.502,1077.033,1058.901,1019.414,811.9048,0
1033.919,1070.989,1050.843,1026.264,840.9158,0
1079.451,1065.348,1037.546,1068.974,836.4835,0
1117.326,1065.751,1029.084,1090.733,842.9304,0
1078.242,1062.125,1028.278,1052.454,886.8498,0
