Alpha, Beta, Eyes
0.4413542,0.07723227,1
0.5153396,0.1272592,1
0.5342568,0.1331686,1
0.5888058,0.1547432,1
0.6361626,0.1828852,1
0.6513516,0.209331,1
0.6520736,0.2317626,1
0.6474223,0.250049,1
0.6378448,0.256126,1
0.6381625,0.257184,1
0.6414896,0.2576809,1
0.6655709,0.2625793,1
0.6833745,0.2721656,1
0.7002253,0.2820567,1
0.7067234,0.2837776,1
0.7086497,0.2592333,1
0.5421455,0.1532349,1
0.5425447,0.1451544,1
0.5442278,0.1337051,1
0.5459303,0.1193701,1
0.5424199,0.1049147,1
0.5115747,0.09587373,1
0.4615783,0.09709824,1
0.4718125,0.1023356,1
0.4944063,0.1081963,1
0.499668,0.1092736,1
0.4968895,0.1026185,1
0.4862767,0.08947908,1
0.4737795,0.07523226,1
0.457789,0.06789239,1
0.4409038,0.07206494,1
0.4332927,0.08624657,1
0.4012296,0.1041309,1
0.3642338,0.1181592,1
0.3520381,0.1229696,1
0.3560983,0.1170478,1
0.35947,0.1038773,1
0.369917,0.08865101,1
0.3807074,0.07576332,1
0.3839798,0.0671178,1
0.3760363,0.06157111,1
0.3701385,0.05769117,1
0.3700964,0.05472692,1
0.3713593,0.05154235,1
0.3729105,0.04512762,1
0.3726172,0.0322494,1
0.3713029,0.01108449,1
0.3607926,-0.01733725,1
0.3114123,-0.04753229,1
0.2516466,-0.07104452,1
0.2333038,-0.08175454,1
0.2657208,-0.08006736,1
0.3029355,-0.07208221,1
0.3353056,-0.06467691,1
0.3154078,-0.06273971,1
0.2851023,-0.06549784,1
0.2781405,-0.06916514,1
0.2830079,-0.07045253,0
0.2924769,-0.06811665,0
0.3043005,-0.06173273,0
0.3192017,-0.05027418,0
0.3736216,-0.02460284,0
0.4678597,0.02420374,0
0.5519184,0.09087922,0
0.5909151,0.1577056,0
0.5994145,0.2087425,0
0.6041974,0.2393572,0
0.6111382,0.2542058,0
0.624599,0.2614895,0
0.6417096,0.2681209,0
0.6574402,0.2759766,0
0.6799013,0.2838137,0
0.6960265,0.289972,0
0.7138953,0.2945192,0
0.7202886,0.2985657,0
0.7268804,0.3020402,0
0.7546584,0.2999988,0
0.7876806,0.28583,0
0.8272083,0.2563868,0
0.8520995,0.2157523,0
0.821934,0.1744707,0
0.7767962,0.1409484,0
0.7566137,0.1156885,0
0.7340474,0.09529191,0
0.705207,0.07801179,0
0.6919001,0.06541392,0
0.6730248,0.05933818,0
0.6492031,0.05999513,0
0.631961,0.06498323,0
0.6334878,0.07112277,0
0.6539585,0.07580538,0
0.6697534,0.07846046,0
0.6749164,0.08001759,0
0.6754873,0.08280809,0
0.6799461,0.08796989,0
0.6625693,0.0950892,0
0.6035727,0.103782,0
0.5746202,0.1135733,0
0.5464992,0.1231447,0
0.5369895,0.1295984,0
0.5343794,0.1311104,0
